0
value__last_location_of_maximum
value__first_location_of_maximum
value__sum_of_reoccurring_data_points
value__number_peaks__n_1
value__ar_coefficient__coeff_1__k_10
value__ar_coefficient__coeff_2__k_10
value__ar_coefficient__coeff_7__k_10
value__ar_coefficient__coeff_8__k_10
value__ar_coefficient__coeff_10__k_10
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4"
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4"
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6"
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8"
"value__fft_coefficient__attr_""real""__coeff_7"
"value__fft_coefficient__attr_""real""__coeff_11"
"value__fft_coefficient__attr_""real""__coeff_20"
"value__fft_coefficient__attr_""real""__coeff_24"
"value__fft_coefficient__attr_""real""__coeff_34"
"value__fft_coefficient__attr_""real""__coeff_58"
"value__fft_coefficient__attr_""real""__coeff_63"
"value__fft_coefficient__attr_""real""__coeff_83"
"value__fft_coefficient__attr_""imag""__coeff_21"
"value__fft_coefficient__attr_""imag""__coeff_45"
"value__fft_coefficient__attr_""imag""__coeff_92"
"value__fft_coefficient__attr_""abs""__coeff_58"
"value__fft_coefficient__attr_""abs""__coeff_63"
"value__fft_coefficient__attr_""abs""__coeff_92"
"value__fft_coefficient__attr_""angle""__coeff_11"
"value__fft_coefficient__attr_""angle""__coeff_50"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var"""
