Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SKX,"Skechers U.S.A., Inc.",11.16B,1.85%,1577091,8.72B
MGA,Magna International Inc.,10.85B,1.64%,1990734,42.66B
FND,"Floor & Decor Holdings, Inc.",10.66B,2.95%,908073,4.40B
BIRK,Birkenstock Holding plc,10.61B,1.42%,1335707,2.01B
MUSA,Murphy USA Inc.,10.33B,0.75%,186152,18.28B
MGM,MGM Resorts International,10.29B,1.17%,4975067,17.22B
CCK,"Crown Holdings, Inc.",10.10B,-2.52%,1677286,11.76B
HTHT,H World Group Limited,10.05B,0.75%,1605767,3.34B
ALSN,"Allison Transmission Holdings, Inc.",9.92B,1.40%,329512,3.20B
LAD,"Lithia Motors, Inc.",9.87B,1.07%,234913,34.69B
GLBE,Global-E Online Ltd.,9.81B,0.31%,1190328,675.25M
VFC,V.F. Corporation,9.80B,2.19%,3494250,10.15B
LKQ,LKQ Corporation,9.60B,-0.11%,1909231,14.50B
NIO,NIO Inc.,9.23B,2.57%,41897338,9.00B
CHDN,Churchill Downs Incorporated,9.11B,0.66%,335385,2.67B
PLNT,"Planet Fitness, Inc.",9.07B,-0.37%,1585131,1.05B
WYNN,"Wynn Resorts, Limited",9.05B,-0.44%,2380059,7.13B
WING,Wingstop Inc.,8.97B,1.07%,553764,591.04M
VFS,VinFast Auto Ltd.,8.96B,1.06%,487047,1.52B
LCID,"Lucid Group, Inc.",8.82B,4.64%,63892405,730.51M
GAP,"The Gap, Inc.",8.58B,-1.60%,3553964,15.24B
BBWI,"Bath & Body Works, Inc.",8.40B,2.08%,2277821,7.43B
EAT,"Brinker International, Inc.",8.35B,-0.60%,1122542,4.83B
WH,"Wyndham Hotels & Resorts, Inc.",8.25B,-,456252,1.38B
BERY,"Berry Global Group, Inc.",8.16B,5.49%,3251982,12.31B
HAS,"Hasbro, Inc.",7.97B,0.90%,1141702,4.32B
GPK,Graphic Packaging Holding Company,7.97B,-2.50%,5130517,8.81B
GIL,Gildan Activewear Inc.,7.94B,0.90%,331839,3.23B
CZR,"Caesars Entertainment, Inc.",7.68B,1.69%,1952036,11.27B
VIPS,Vipshop Holdings Limited,7.63B,6.84%,2734421,15.66B
LEVI,Levi Strauss & Co.,7.61B,3.00%,1646848,6.36B
AN,"AutoNation, Inc.",7.58B,2.74%,382987,26.32B
MHK,"Mohawk Industries, Inc.",7.58B,0.91%,767332,10.81B
RH,RH,7.55B,2.77%,496702,3.11B
LNW,"Light & Wonder, Inc.",7.47B,1.54%,481768,3.16B
HRB,"H&R Block, Inc.",7.46B,-2.39%,1261729,3.62B
