Symbol,Company Name,Market Cap,% Change,Volume,Revenue
ESLT,Elbit Systems Ltd.,13.76B,1.30%,23140,6.52B
SWK,"Stanley Black & Decker, Inc.",13.36B,1.75%,3611938,15.37B
CW,Curtiss-Wright Corporation,13.08B,-0.11%,151279,3.08B
POOL,Pool Corporation,12.91B,0.55%,314246,5.33B
SAIA,"Saia, Inc.",12.71B,1.88%,398412,3.21B
CLH,"Clean Harbors, Inc.",12.68B,0.44%,197121,5.80B
UHAL.B,U-Haul Holding Company,12.55B,0.40%,302251,5.64B
NDSN,Nordson Corporation,12.40B,0.23%,248585,2.69B
RTO,Rentokil Initial plc,12.21B,0.53%,322789,6.84B
ITT,ITT Inc.,12.13B,0.47%,197709,3.53B
CHRW,"C.H. Robinson Worldwide, Inc.",11.68B,0.74%,887471,17.72B
RBC,RBC Bearings Incorporated,11.53B,0.42%,262247,1.61B
FTAI,FTAI Aviation Ltd.,11.24B,1.29%,1812527,1.55B
ALLE,Allegion plc,11.17B,-0.19%,877414,3.72B
AAL,American Airlines Group Inc.,11.07B,0.84%,27036103,54.21B
TFII,TFI International Inc.,10.99B,2.27%,159096,8.29B
WWD,"Woodward, Inc.",10.96B,-1.81%,1147958,3.31B
MTZ,"MasTec, Inc.",10.94B,-0.90%,732783,12.18B
LECO,"Lincoln Electric Holdings, Inc.",10.91B,0.48%,208318,4.05B
CNM,"Core & Main, Inc.",10.86B,-2.08%,2556152,7.18B
ULS,UL Solutions Inc.,10.84B,1.50%,427803,2.82B
APG,APi Group Corporation,10.49B,0.42%,1036149,6.92B
NVT,nVent Electric plc,10.37B,-0.58%,1802034,3.54B
RRX,Regal Rexnord Corporation,10.26B,1.98%,654455,6.18B
BWXT,"BWX Technologies, Inc.",10.18B,-0.85%,634469,2.68B
AIT,"Applied Industrial Technologies, Inc.",9.98B,0.62%,298612,4.48B
ARMK,Aramark,9.98B,-2.05%,5379493,17.55B
CR,Crane Company,9.80B,1.13%,172107,2.13B
BLD,TopBuild Corp.,9.77B,1.31%,238786,5.30B
AYI,"Acuity Brands, Inc.",9.72B,0.25%,175385,3.86B
CRS,Carpenter Technology Corporation,9.59B,0.49%,540204,2.88B
AOS,A. O. Smith Corporation,9.52B,-2.06%,1713080,3.82B
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",9.47B,0.12%,75080,1.29B
LTM,LATAM Airlines Group S.A.,9.34B,0.62%,318748,12.83B
ALK,"Alaska Air Group, Inc.",9.30B,2.80%,2303578,11.74B
DRS,"Leonardo DRS, Inc.",9.29B,0.37%,355770,3.18B
TTEK,"Tetra Tech, Inc.",9.26B,0.96%,4436452,4.50B
KNX,Knight-Swift Transportation Holdings Inc.,9.14B,1.27%,1933040,7.41B
MIDD,The Middleby Corporation,9.12B,-0.18%,532578,3.87B
WMS,"Advanced Drainage Systems, Inc.",9.12B,-1.26%,683042,2.91B
ATI,ATI Inc.,9.09B,9.94%,4645888,4.36B
SARO,"StandardAero, Inc.",9.05B,-0.18%,845518,4.99B
AAON,"AAON, Inc.",9.02B,-3.61%,825175,1.21B
WCC,"WESCO International, Inc.",8.91B,0.43%,358662,21.79B
GTLS,"Chart Industries, Inc.",8.82B,0.43%,249759,4.07B
MLI,"Mueller Industries, Inc.",8.68B,-2.23%,1172984,3.77B
STN,Stantec Inc.,8.65B,1.61%,102411,4.17B
FBIN,"Fortune Brands Innovations, Inc.",8.57B,0.04%,1192709,4.67B
GNRC,Generac Holdings Inc.,8.48B,-1.40%,945914,4.12B
DCI,"Donaldson Company, Inc.",8.35B,0.47%,231402,3.64B
TTC,The Toro Company,8.23B,0.93%,638137,4.58B
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.23B,0.03%,56177,1.49B
FLS,Flowserve Corporation,8.21B,0.86%,840438,4.54B
LPX,Louisiana-Pacific Corporation,8.19B,-0.95%,522277,2.92B
FLR,Fluor Corporation,8.17B,1.06%,1619483,15.88B
DLB,"Dolby Laboratories, Inc.",8.13B,0.26%,395611,1.32B
AGCO,AGCO Corporation,7.73B,2.73%,690699,12.58B
HII,"Huntington Ingalls Industries, Inc.",7.66B,-0.41%,395447,11.71B
TREX,"Trex Company, Inc.",7.65B,-0.74%,1099848,1.18B
CAE,CAE Inc.,7.42B,0.87%,202534,3.28B
ESAB,ESAB Corporation,7.35B,1.29%,125481,2.76B
BECN,"Beacon Roofing Supply, Inc.",7.33B,0.82%,572575,9.66B
ERJ,Embraer S.A.,7.33B,-2.11%,962140,5.77B
OSK,Oshkosh Corporation,7.25B,-1.26%,789435,10.76B
LOAR,Loar Holdings Inc.,7.23B,-2.09%,316308,378.81M
AZEK,The AZEK Company Inc.,7.21B,-1.16%,2194224,1.49B
KBR,"KBR, Inc.",7.08B,-0.69%,770643,7.35B
ADT,ADT Inc.,6.98B,1.30%,8734083,5.14B
SPXC,"SPX Technologies, Inc.",6.90B,1.78%,202602,1.92B
WTS,"Watts Water Technologies, Inc.",6.86B,0.14%,172757,2.26B
FCN,"FTI Consulting, Inc.",6.84B,-0.26%,163699,3.73B
CWST,"Casella Waste Systems, Inc.",6.82B,-1.07%,230513,1.49B
R,"Ryder System, Inc.",6.71B,1.66%,245888,12.47B
ZWS,Zurn Elkay Water Solutions Corporation,6.69B,0.69%,1117953,1.57B
JBTM,JBT Marel Corporation,6.57B,-0.76%,165508,1.69B
VMI,"Valmont Industries, Inc.",6.54B,0.53%,63219,4.05B
AWI,"Armstrong World Industries, Inc.",6.52B,0.04%,154929,1.39B
WSC,WillScot Holdings Corporation,6.51B,-1.62%,1840186,2.41B
MSA,MSA Safety Incorporated,6.46B,1.09%,108509,1.80B
RHI,Robert Half Inc.,6.40B,-0.47%,859807,5.80B
SITE,"SiteOne Landscape Supply, Inc.",6.17B,0.62%,195063,4.49B
KEX,Kirby Corporation,6.14B,-0.21%,633407,3.27B
JOBY,"Joby Aviation, Inc.",6.14B,-0.50%,8596538,1.11M
FSS,Federal Signal Corporation,5.92B,0.03%,351245,1.84B
SMR,NuScale Power Corporation,5.87B,-3.65%,10180204,7.38M
GATX,GATX Corporation,5.86B,-0.18%,96160,1.59B
MOG.A,Moog Inc.,5.84B,2.05%,147274,3.66B
MOG.B,Moog Inc.,5.82B,-9.76%,13,3.66B
HRI,Herc Holdings Inc.,5.80B,3.46%,104713,3.45B
LSTR,"Landstar System, Inc.",5.75B,-0.07%,272653,4.83B
TKR,The Timken Company,5.53B,2.16%,1416247,4.57B
DY,"Dycom Industries, Inc.",5.42B,0.12%,290615,4.57B
GXO,"GXO Logistics, Inc.",5.37B,1.65%,629527,11.05B
CSWI,"CSW Industrials, Inc.",5.37B,-0.77%,65945,858.61M
BE,Bloom Energy Corporation,5.28B,-1.95%,2863630,1.26B
GTES,Gates Industrial Corporation plc,5.22B,1.23%,1884106,3.44B
AVAV,"AeroVironment, Inc.",5.21B,7.60%,549679,761.50M
KTOS,"Kratos Defense & Security Solutions, Inc.",5.19B,3.55%,1642304,1.13B
HXL,Hexcel Corporation,5.19B,-0.91%,688673,1.90B
SNDR,"Schneider National, Inc.",5.17B,1.65%,529842,5.29B
AL,Air Lease Corporation,5.01B,-0.40%,523223,2.74B
AMTM,"Amentum Holdings, Inc.",4.99B,0.49%,1697713,9.82B
ACA,"Arcosa, Inc.",4.94B,1.36%,173408,2.49B
SKYW,"SkyWest, Inc.",4.80B,0.65%,364011,3.53B
BBU,Brookfield Business Partners L.P.,4.73B,1.35%,13594,40.62B
EXPO,"Exponent, Inc.",4.68B,0.52%,217004,508.60M
ACHR,Archer Aviation Inc.,4.65B,-0.11%,14656258,-
TNET,"TriNet Group, Inc.",4.60B,0.43%,129976,4.97B
ROAD,"Construction Partners, Inc.",4.59B,2.67%,728033,1.82B
FELE,"Franklin Electric Co., Inc.",4.56B,0.54%,92827,2.01B
MATX,"Matson, Inc.",4.49B,-0.76%,214869,3.32B
MSM,"MSC Industrial Direct Co., Inc.",4.49B,1.42%,552546,3.80B
KAI,Kadant Inc.,4.32B,0.65%,40897,1.03B
IESC,"IES Holdings, Inc.",4.30B,-2.35%,378120,3.00B
MMS,"Maximus, Inc.",4.29B,-0.90%,774851,5.31B
CBZ,"CBIZ, Inc.",4.29B,-0.29%,97801,1.68B
VRRM,Verra Mobility Corporation,4.27B,-1.11%,861019,868.72M
STRL,"Sterling Infrastructure, Inc.",4.26B,1.14%,469190,2.10B
AEIS,"Advanced Energy Industries, Inc.",4.20B,0.02%,143304,1.47B
UNF,UniFirst Corporation,4.13B,3.27%,79156,2.44B
RXO,"RXO, Inc.",4.06B,2.52%,1163268,3.86B
PRIM,Primoris Services Corporation,4.04B,0.01%,637794,6.14B
SPR,"Spirit AeroSystems Holdings, Inc.",4.03B,1.54%,1689218,6.48B
BCO,The Brink's Company,4.03B,0.59%,164379,4.99B
GEO,"The GEO Group, Inc.",3.89B,-7.78%,3827560,2.42B
NPO,Enpro Inc.,3.88B,0.69%,84924,1.04B
GVA,Granite Construction Incorporated,3.81B,0.73%,380003,3.96B
CPA,"Copa Holdings, S.A.",3.77B,0.81%,241236,3.48B
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",3.75B,-0.06%,61229,748.99M
ENS,EnerSys,3.74B,0.25%,200208,3.51B
CXT,"Crane NXT, Co.",3.65B,1.28%,223159,1.44B
MWA,"Mueller Water Products, Inc.",3.61B,0.52%,1123702,1.36B
KFY,Korn Ferry,3.60B,-0.37%,190153,2.71B
MDU,"MDU Resources Group, Inc.",3.60B,-0.23%,1261290,4.45B
GFF,Griffon Corporation,3.57B,0.49%,455052,2.62B
BRC,Brady Corporation,3.57B,0.70%,169315,1.39B
ECG,"Everus Construction Group, Inc.",3.45B,1.44%,308301,2.73B
ATMU,Atmus Filtration Technologies Inc.,3.43B,1.18%,288879,1.66B
FA,First Advantage Corporation,3.30B,1.54%,307820,755.64M
ABM,ABM Industries Incorporated,3.30B,-,139580,8.36B
MIR,"Mirion Technologies, Inc.",3.28B,1.73%,1326892,836.90M
LUNR,"Intuitive Machines, Inc.",3.25B,-0.55%,10975008,203.90M
GMS,GMS Inc.,3.23B,0.80%,214956,5.59B
HEES,"H&E Equipment Services, Inc.",3.23B,0.54%,546378,1.52B
REZI,"Resideo Technologies, Inc.",3.21B,-,675970,6.44B
TEX,Terex Corporation,3.16B,3.00%,511616,5.11B
