Symbol,Company Name,Market Cap,% Change,Volume,Revenue
CWK,Cushman & Wakefield plc,3.09B,2.13%,2540020,9.37B
BNL,"Broadstone Net Lease, Inc.",3.08B,-0.26%,478607,424.67M
OUT,OUTFRONT Media Inc.,3.06B,1.15%,2613919,1.84B
MPW,"Medical Properties Trust, Inc.",2.86B,-0.63%,10518863,660.17M
ABR,"Arbor Realty Trust, Inc.",2.81B,1.70%,1643920,650.35M
JOE,The St. Joe Company,2.79B,0.19%,169231,385.14M
AKR,Acadia Realty Trust,2.77B,-0.26%,356477,367.40M
PK,Park Hotels & Resorts Inc.,2.70B,-,2392140,2.66B
FCPT,"Four Corners Property Trust, Inc.",2.68B,-0.61%,336489,264.88M
UE,Urban Edge Properties,2.63B,-0.94%,326130,435.18M
ESRT,"Empire State Realty Trust, Inc.",2.62B,0.42%,1113213,758.43M
ESBA,"Empire State Realty OP, L.P.",2.59B,3.73%,22290,758.43M
CURB,Curbline Properties Corp.,2.58B,-0.20%,186647,111.43M
LXP,LXP Industrial Trust,2.45B,1.09%,1371095,340.56M
CCS,"Century Communities, Inc.",2.36B,2.29%,653160,4.40B
ROIC,Retail Opportunity Investments Corp.,2.34B,0.06%,809658,336.79M
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.29B,0.68%,477064,243.24M
IVT,InvenTrust Properties Corp.,2.25B,-1.02%,391972,294.56M
SHO,"Sunstone Hotel Investors, Inc.",2.21B,-1.52%,959913,910.26M
IIPR,"Innovative Industrial Properties, Inc.",2.10B,2.96%,202465,310.93M
DBRG,"DigitalBridge Group, Inc.",2.00B,2.09%,1058569,876.65M
AAT,"American Assets Trust, Inc.",1.85B,-0.41%,211954,457.86M
DRH,DiamondRock Hospitality Company,1.80B,0.23%,1035597,1.11B
EXPI,"eXp World Holdings, Inc.",1.71B,1.55%,520793,4.46B
GTY,Getty Realty Corp.,1.70B,0.06%,195693,198.02M
GNL,"Global Net Lease, Inc.",1.65B,1.13%,1103827,812.62M
VRE,"Veris Residential, Inc.",1.61B,-0.50%,228067,293.37M
LTC,"LTC Properties, Inc.",1.55B,-0.55%,617103,198.71M
PEB,Pebblebrook Hotel Trust,1.54B,0.31%,833366,1.45B
JBGS,JBG SMITH Properties,1.51B,0.53%,381071,567.03M
XHR,"Xenia Hotels & Resorts, Inc.",1.49B,0.07%,649420,1.03B
RLJ,RLJ Lodging Trust,1.47B,-,790448,1.36B
LADR,Ladder Capital Corp,1.44B,1.72%,597615,257.01M
MMI,"Marcus & Millichap, Inc.",1.44B,-0.05%,78988,622.23M
UMH,"UMH Properties, Inc.",1.42B,0.11%,168777,235.20M
SILA,"Sila Realty Trust, Inc.",1.38B,0.64%,329895,186.23M
AIV,Apartment Investment and Management Company,1.37B,0.11%,716270,204.74M
ELME,Elme Communities,1.34B,1.06%,355340,239.52M
TWO,Two Harbors Investment Corp.,1.32B,0.87%,811913,593.49M
UNIT,Uniti Group Inc.,1.32B,1.89%,1460335,1.16B
DEA,"Easterly Government Properties, Inc.",1.31B,0.45%,1036826,302.12M
ALEX,"Alexander & Baldwin, Inc.",1.30B,-0.39%,201255,230.95M
BFS,"Saul Centers, Inc.",1.26B,1.15%,24281,267.61M
ARI,"Apollo Commercial Real Estate Finance, Inc.",1.24B,1.93%,746796,161.10M
KW,"Kennedy-Wilson Holdings, Inc.",1.24B,0.78%,423148,483.20M
CIM,Chimera Investment Corporation,1.23B,2.63%,667532,442.34M
SDHC,Smith Douglas Homes Corp.,1.21B,3.16%,54688,905.30M
NTST,NETSTREIT Corp.,1.19B,-,653105,155.55M
SAFE,Safehold Inc.,1.18B,2.48%,383783,401.07M
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,1.18B,-0.28%,71867,370.00M
PMT,PennyMac Mortgage Investment Trust,1.17B,1.20%,819749,504.60M
FOR,Forestar Group Inc.,1.17B,1.76%,98844,1.45B
EFC,Ellington Financial Inc.,1.16B,0.80%,869023,290.29M
PGRE,"Paramount Group, Inc.",1.15B,1.05%,666268,553.64M
RC,Ready Capital Corporation,1.14B,2.28%,1483082,140.36M
DX,"Dynex Capital, Inc.",1.12B,0.45%,1818431,150.40M
MFA,"MFA Financial, Inc.",1.08B,1.54%,537039,366.19M
CSR,Centerspace,1.07B,0.77%,88922,258.64M
PDM,"Piedmont Office Realty Trust, Inc.",1.06B,0.12%,684794,572.42M
FBRT,"Franklin BSP Realty Trust, Inc.",1.05B,1.74%,279076,169.68M
ARR,"ARMOUR Residential REIT, Inc.",1.05B,0.32%,1785554,185.09M
NXRT,"NexPoint Residential Trust, Inc.",1.00B,0.82%,63050,264.97M
REAX,The Real Brokerage Inc.,987.80M,-,870775,1.10B
AHH,"Armada Hoffler Properties, Inc.",981.17M,0.21%,413062,756.90M
RDFN,Redfin Corporation,975.73M,-1.13%,3654321,1.02B
ALX,"Alexander's, Inc.",974.11M,0.60%,5107,233.40M
OPEN,Opendoor Technologies Inc.,943.89M,-,22107722,4.94B
CBL,"CBL & Associates Properties, Inc.",928.79M,-1.27%,193631,523.58M
BDN,Brandywine Realty Trust,928.25M,0.19%,1953277,505.52M
FPH,"Five Point Holdings, LLC",912.57M,-0.97%,710470,237.93M
RWT,"Redwood Trust, Inc.",862.70M,0.46%,395475,268.36M
INN,"Summit Hotel Properties, Inc.",824.51M,0.61%,427511,736.29M
SITC,SITE Centers Corp.,780.69M,-0.07%,1094539,451.68M
PLYM,"Plymouth Industrial REIT, Inc.",775.36M,0.78%,290130,201.57M
KREF,KKR Real Estate Finance Trust Inc.,757.22M,9.65%,1061825,100.62M
