Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SOPA,Society Pass Incorporated,7.62M,-12.76%,2411994,6.91M
WTO,UTime Limited,7.45M,6.78%,432876,32.31M
BOXL,Boxlight Corporation,7.28M,-1.54%,196460,150.71M
MITQ,"Moving iMage Technologies, Inc.",7.12M,1.55%,85953,18.76M
ULY,Urgent.ly Inc.,6.61M,-,50238,155.93M
FRGT,"Freight Technologies, Inc.",6.35M,-2.34%,14085,17.57M
MRIN,Marin Software Incorporated,6.32M,-1.95%,18730,16.71M
VISL,"Vislink Technologies, Inc.",6.19M,23.65%,326952,32.44M
VERB,"Verb Technology Company, Inc.",5.86M,2.97%,17526,201.00K
OST,"Ostin Technology Group Co., Ltd.",5.83M,1.08%,146750,32.46M
VS,Versus Systems Inc.,5.66M,-0.96%,41291,91.50K
GITS,"Global Interactive Technologies, Inc.",5.47M,-,68304,-186.28K
TGL,Treasure Global Inc.,5.37M,-0.27%,480945,8.81M
IDAI,T Stamp Inc.,5.30M,-0.63%,108857,2.16M
FTFT,Future FinTech Group Inc.,4.96M,1.31%,136350,18.54M
OBLG,"Oblong, Inc.",4.77M,-0.48%,62981,2.76M
VVPR,VivoPower International PLC,4.71M,-,36482,79.00K
IMTE,Integrated Media Technology Limited,4.32M,2.44%,7298,123.34K
CETX,"Cemtrex, Inc.",4.28M,-1.64%,25014,66.86M
WATT,Energous Corporation,4.13M,4.44%,1088192,431.18K
IFBD,"Infobird Co., Ltd",3.87M,2.09%,10709,300.00K
JTAI,Jet.AI Inc.,3.25M,-0.40%,60767,15.03M
PRSO,Peraso Inc.,3.10M,2.33%,39215,12.73M
OLB,"The OLB Group, Inc.",2.91M,-2.88%,57606,16.01M
ASTI,"Ascent Solar Technologies, Inc.",2.71M,-3.08%,41300,44.67K
SYTA,Siyata Mobile Inc.,2.69M,6.88%,223998,11.99M
MYSZ,"My Size, Inc.",2.58M,-3.30%,312756,9.63M
AUUD,Auddia Inc.,2.58M,-2.59%,57058,-
SGN,"Signing Day Sports, Inc.",2.43M,0.64%,438611,576.49K
RIME,"Algorhythm Holdings, Inc.",2.30M,-8.61%,116606297,32.48M
TAOP,Taoping Inc.,1.81M,2.83%,265576,42.64M
SVRE,SaverOne 2014 Ltd.,1.58M,-29.38%,3568498,458.95K
CYN,Cyngn Inc.,1.53M,-39.26%,111645699,102.12K
WLDS,Wearable Devices Ltd.,1.28M,-2.78%,205556,464.00K
LYT,Lytus Technologies Holdings PTV. Ltd.,1.12M,0.60%,515118,21.36M
SOBR,"SOBR Safe, Inc.",846.34K,-2.33%,1050900,183.86K
ATCH,"AtlasClear Holdings, Inc.",795.05K,-14.51%,130898,-
