Symbol,Company Name,Market Cap,% Change,Volume,Revenue
IQ,"iQIYI, Inc.",2.12B,5.74%,33013520,4.32B
CRTO,Criteo S.A.,2.12B,1.96%,376293,1.95B
LION,Lionsgate Studios Corp.,2.10B,5.06%,302203,2.98B
UPWK,Upwork Inc.,2.08B,2.17%,1498983,761.78M
LGF.A,Lions Gate Entertainment Corp.,1.91B,3.38%,758887,3.88B
WBTN,WEBTOON Entertainment Inc.,1.76B,5.96%,179022,1.33B
IAS,Integral Ad Science Holding Corp.,1.75B,0.37%,896303,511.36M
STGW,Stagwell Inc.,1.70B,1.92%,238075,2.71B
SPHR,Sphere Entertainment Co.,1.62B,0.13%,364184,1.14B
CABO,"Cable One, Inc.",1.60B,-1.22%,135267,1.60B
OPRA,Opera Limited,1.59B,1.18%,211351,447.82M
FUBO,fuboTV Inc.,1.55B,10.10%,37890127,1.59B
QNST,"QuinStreet, Inc.",1.39B,4.47%,297960,768.81M
AMC,"AMC Entertainment Holdings, Inc.",1.36B,2.60%,7596352,4.44B
BMBL,Bumble Inc.,1.33B,7.60%,1787188,1.08B
TBLA,Taboola.com Ltd.,1.31B,3.45%,567309,1.69B
IMAX,IMAX Corporation,1.28B,0.95%,396887,345.55M
ATUS,"Altice USA, Inc.",1.26B,-0.73%,4218895,9.02B
TTGT,"TechTarget, Inc.",1.25B,2.57%,128954,260.75M
MOMO,Hello Group Inc.,1.25B,2.97%,892615,1.56B
LILAK,Liberty Latin America Ltd.,1.22B,3.17%,471865,4.47B
IDT,IDT Corporation,1.20B,0.49%,22503,1.21B
IHS,IHS Holding Limited,1.19B,-0.28%,656551,1.78B
FVRR,Fiverr International Ltd.,1.09B,3.81%,539516,379.32M
GOGO,Gogo Inc.,1.07B,0.49%,800531,404.72M
TV,"Grupo Televisa, S.A.B.",1.07B,1.52%,1296262,3.62B
NRDS,"NerdWallet, Inc.",1.06B,2.91%,366553,637.50M
GETY,"Getty Images Holdings, Inc.",1.06B,2.78%,1085774,917.90M
PLAY,"Dave & Buster's Entertainment, Inc.",1.05B,-1.08%,922740,2.20B
SSTK,"Shutterstock, Inc.",1.04B,1.40%,227938,902.18M
KIND,"Nextdoor Holdings, Inc.",1.03B,5.88%,1160228,237.61M
SBGI,"Sinclair, Inc.",991.00M,2.61%,211019,3.37B
SEAT,Vivid Seats Inc.,941.09M,4.38%,880006,774.08M
EEX,"Emerald Holding, Inc.",919.52M,-,98508,393.50M
ANGI,Angi Inc.,910.00M,5.17%,402864,1.22B
ADV,Advantage Solutions Inc.,856.41M,1.91%,196027,3.99B
HUYA,HUYA Inc.,833.37M,2.81%,551352,871.49M
THRY,"Thryv Holdings, Inc.",795.40M,4.92%,387172,873.72M
MAX,"MediaAlpha, Inc.",784.64M,5.28%,291609,681.23M
EVER,"EverQuote, Inc.",764.65M,7.67%,412769,408.44M
RBBN,Ribbon Communications Inc.,717.32M,4.07%,273175,808.92M
CCO,"Clear Channel Outdoor Holdings, Inc.",674.93M,2.22%,712470,2.23B
MCS,The Marcus Corporation,650.10M,0.54%,70235,670.23M
NCMI,"National CineMedia, Inc.",648.27M,0.89%,372649,245.30M
GCI,"Gannett Co., Inc.",639.19M,3.60%,1053259,2.56B
NEXN,Nexxen International Ltd.,622.91M,0.83%,47125,349.11M
SHEN,Shenandoah Telecommunications Company,591.89M,3.24%,188691,328.81M
SCHL,Scholastic Corporation,531.67M,0.48%,198077,1.58B
RSVR,"Reservoir Media, Inc.",530.26M,1.63%,17259,149.61M
ATEX,Anterix Inc.,527.27M,-1.77%,82815,5.61M
DDI,"DoubleDown Interactive Co., Ltd.",504.95M,-0.10%,30708,342.46M
DOYU,DouYu International Holdings Limited,502.69M,-,279409,631.66M
PERI,Perion Network Ltd.,473.00M,4.99%,530981,602.94M
CTV,Innovid Corp.,463.51M,-,5222145,151.56M
GRPN,"Groupon, Inc.",450.17M,8.53%,1504006,499.89M
GRVY,"Gravity Co., Ltd.",435.90M,0.16%,7688,381.08M
JFIN,Jiayin Group Inc.,432.21M,0.87%,63653,854.96M
SOHU,Sohu.com Limited,414.76M,3.47%,54708,607.23M
AMCX,AMC Networks Inc.,412.53M,-1.06%,301634,2.50B
GMGI,"Golden Matrix Group, Inc.",386.83M,-0.54%,209139,87.56M
GTN,"Gray Media, Inc.",385.30M,9.19%,1881268,3.46B
VENU,Venu Holding Corporation,368.20M,0.92%,29281,17.48M
IHRT,"iHeartMedia, Inc.",357.40M,6.33%,691862,3.80B
WOW,"WideOpenWest, Inc.",349.67M,1.19%,186171,647.10M
OB,Outbrain Inc.,332.65M,14.92%,467036,903.52M
AENT,Alliance Entertainment Holding Corporation,311.74M,0.49%,47756,1.10B
TRUE,"TrueCar, Inc.",300.01M,4.55%,123190,170.68M
ZH,Zhihu Inc.,285.89M,-1.76%,310289,552.85M
GDEV,GDEV Inc.,280.65M,3.61%,7212,432.53M
TZOO,Travelzoo,239.87M,6.33%,97994,84.37M
ATNI,"ATN International, Inc.",231.35M,1.96%,52105,747.49M
MYPS,"PLAYSTUDIOS, Inc.",215.70M,4.85%,95253,298.76M
TRVG,trivago N.V.,214.00M,1.66%,181141,477.12M
RDCM,RADCOM Ltd.,205.19M,0.23%,34714,58.76M
EVC,Entravision Communications Corporation,202.47M,4.17%,103667,1.15B
NIPG,NIP Group Inc.,187.27M,-8.77%,166020,84.45M
CXDO,"Crexendo, Inc.",162.34M,4.54%,119296,58.76M
SSP,The E.W. Scripps Company,161.90M,6.82%,584327,2.40B
CURI,CuriosityStream Inc.,153.68M,6.54%,552046,51.78M
CDLX,"Cardlytics, Inc.",152.98M,3.08%,881267,293.47M
TSQ,"Townsquare Media, Inc.",139.92M,-3.02%,29949,447.96M
