Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PBF,PBF Energy Inc.,3.52B,9.49%,2403571,34.90B
VAL,Valaris Limited,3.43B,4.26%,1316763,2.26B
RIG,Transocean Ltd.,3.41B,2.64%,31663761,3.31B
USAC,"USA Compression Partners, LP",3.28B,1.71%,536968,929.61M
HP,"Helmerich & Payne, Inc.",3.28B,4.46%,1303295,2.76B
GPOR,Gulfport Energy Corporation,3.28B,2.03%,171965,886.64M
EE,"Excelerate Energy, Inc.",3.27B,1.58%,176351,816.93M
PTEN,"Patterson-UTI Energy, Inc.",3.20B,4.19%,10388590,5.80B
VRN,Veren Inc.,3.19B,5.08%,15940752,2.85B
BSM,"Black Stone Minerals, L.P.",3.15B,1.91%,602990,457.21M
UGP,Ultrapar Participações S.A.,3.15B,-0.69%,628442,24.15B
STR,Sitio Royalties Corp.,3.10B,1.20%,392888,618.67M
UEC,Uranium Energy Corp.,3.00B,3.35%,4856634,17.20M
LBRT,Liberty Energy Inc.,2.99B,1.55%,2727084,4.32B
TDW,Tidewater Inc.,2.87B,5.09%,893184,1.30B
AESI,Atlas Energy Solutions Inc.,2.73B,0.58%,1971799,925.76M
CNR,"Core Natural Resources, Inc.",2.64B,3.63%,782077,2.24B
OII,"Oceaneering International, Inc.",2.57B,2.75%,504129,2.60B
FLOC,Flowco Holdings Inc.,2.51B,0.39%,278008,424.75M
CSAN,Cosan S.A.,2.48B,0.18%,753397,7.66B
STNG,Scorpio Tankers Inc.,2.37B,4.50%,1103106,1.38B
SDRL,Seadrill Limited,2.36B,2.76%,745510,1.47B
SOC,Sable Offshore Corp.,2.26B,2.58%,576272,-
DKL,"Delek Logistics Partners, LP",2.22B,0.99%,186383,984.92M
BTU,Peabody Energy Corporation,2.21B,4.06%,2043598,4.35B
NEXT,NextDecade Corporation,2.19B,-2.10%,1166961,-
CMBT,Cmb.Tech NV,2.17B,5.09%,97060,982.85M
BKV,BKV Corporation,2.04B,-1.10%,404452,624.58M
TRMD,TORM plc,2.04B,4.64%,1101360,1.64B
INSW,"International Seaways, Inc.",2.01B,5.03%,1326291,1.01B
BTE,Baytex Energy Corp.,1.99B,5.11%,27439967,2.48B
CVI,"CVR Energy, Inc.",1.98B,3.91%,538616,7.87B
GLP,Global Partners LP,1.97B,2.22%,159050,17.39B
DHT,"DHT Holdings, Inc.",1.91B,3.49%,4022133,583.76M
MNR,Mach Natural Resources LP,1.81B,-0.57%,246301,873.77M
SEI,"Solaris Energy Infrastructure, Inc.",1.79B,-1.33%,711393,280.14M
HPK,"HighPeak Energy, Inc.",1.78B,3.99%,210056,1.14B
TALO,Talos Energy Inc.,1.73B,2.68%,2074987,1.87B
DNN,Denison Mines Corp.,1.65B,5.71%,51263304,2.92M
WKC,World Kinect Corporation,1.64B,1.33%,390535,44.41B
WTTR,"Select Water Solutions, Inc.",1.59B,2.69%,1315667,1.48B
XPRO,Expro Group Holdings N.V.,1.54B,6.23%,730371,1.68B
TNK,Teekay Tankers Ltd.,1.52B,4.88%,620761,1.19B
KRP,"Kimbell Royalty Partners, LP",1.48B,0.39%,515558,325.01M
DMLP,"Dorchester Minerals, L.P.",1.47B,-0.45%,123453,166.45M
KOS,Kosmos Energy Ltd.,1.46B,-0.64%,7477296,1.79B
CLMT,"Calumet, Inc.",1.46B,-7.28%,1526233,4.22B
VET,Vermilion Energy Inc.,1.43B,2.89%,1116814,1.34B
FLNG,FLEX LNG Ltd.,1.40B,1.21%,644851,356.35M
RES,"RPC, Inc.",1.35B,2.08%,1136058,1.41B
NRP,Natural Resource Partners L.P.,1.35B,-0.16%,15413,256.67M
GEL,"Genesis Energy, L.P.",1.33B,2.75%,728583,3.01B
LEU,Centrus Energy Corp.,1.32B,-1.80%,511565,394.00M
INR,"Infinity Natural Resources, Inc.",1.27B,-1.78%,535634,261.67M
HLX,"Helix Energy Solutions Group, Inc.",1.26B,4.92%,843548,1.34B
MRC,MRC Global Inc.,1.23B,0.70%,327499,3.20B
DK,"Delek US Holdings, Inc.",1.23B,7.97%,1464651,13.87B
ACDC,ProFrac Holding Corp.,1.23B,5.34%,857988,2.23B
EFXT,Enerflex Ltd.,1.19B,1.59%,244128,2.42B
VTLE,"Vital Energy, Inc.",1.19B,6.39%,667928,1.86B
NVGS,Navigator Holdings Ltd.,1.18B,2.66%,241469,564.28M
INVX,"Innovex International, Inc.",1.12B,3.32%,513441,543.31M
LPG,Dorian LPG Ltd.,1.07B,4.26%,1370146,416.95M
UUUU,Energy Fuels Inc.,1.06B,3.05%,7253377,38.66M
VTOL,Bristow Group Inc.,1.01B,4.09%,67700,1.37B
SBR,Sabine Royalty Trust,995.77M,2.14%,67081,97.97M
PARR,"Par Pacific Holdings, Inc.",993.15M,5.91%,1360593,8.33B
PUMP,ProPetro Holding Corp.,943.87M,4.09%,1222769,1.47B
NESR,National Energy Services Reunited Corp.,901.98M,2.16%,221682,1.27B
BORR,Borr Drilling Limited,870.88M,3.86%,2882570,968.10M
CAPL,CrossAmerica Partners LP,865.56M,1.34%,67443,3.86B
DEC,Diversified Energy Company PLC,857.44M,1.02%,117800,699.47M
GRNT,"Granite Ridge Resources, Inc.",810.61M,1.97%,175838,358.52M
CLB,Core Laboratories Inc.,809.42M,4.17%,267427,523.85M
PDS,Precision Drilling Corporation,802.99M,4.82%,99552,1.44B
VTS,"Vitesse Energy, Inc.",783.79M,2.24%,126686,232.52M
TXO,"TXO Partners, L.P.",783.49M,3.18%,47603,285.45M
CLNE,Clean Energy Fuels Corp.,770.93M,11.29%,3887163,413.40M
NGL,NGL Energy Partners LP,741.91M,3.88%,935829,6.24B
REPX,"Riley Exploration Permian, Inc.",721.61M,3.61%,84970,407.32M
TK,Teekay Corporation Ltd.,650.68M,4.36%,583455,1.30B
EU,enCore Energy Corp.,595.30M,1.26%,1251245,44.97M
NPKI,NPK International Inc.,592.51M,-,1644382,748.37M
NAT,Nordic American Tankers Limited,588.81M,4.06%,2777863,367.47M
TTI,"TETRA Technologies, Inc.",583.92M,5.98%,1146147,617.73M
TEN,Tsakos Energy Navigation Limited,569.75M,7.04%,359086,836.04M
NBR,Nabors Industries Ltd.,559.12M,5.70%,200930,2.93B
